,2025,2030
1.Population_Grid,342016.0653,740153.5345
1.Population_SA_Diesel,0,0
1.Population_SA_PV,501042.5775,758741.1583
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
1.Population_MG_PV_Hybrid,0,19391.35741
1.Population_MG_Wind_Hybrid,0,0
2.New_Connections_Grid,57782.39719,398179.9456
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,501042.5775,263586.0416
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_PV_Hybrid,0,19391.35741
2.New_Connections_MG_Wind_Hybrid,0,0
3.Capacity_Grid,4205.953677,27462.64792
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,2927.848771,1959.30486
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_PV_Hybrid,0,3198.650897
3.Capacity_MG_Wind_Hybrid,0,0
4.Investment_Grid,12962682.37,94445829.51
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,26734138.32,16807448.19
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
4.Investment_MG_PV_Hybrid,0,3345735.004
4.Investment_MG_Wind_Hybrid,0,0